Initials	Inclusion	Location.Analysis	Genotype.Analysis	Location.GPLGPL	Study.Name	NEW.IDNum	ID.Num	Study.Name.strains	Shortcitation	from Blaustein?	Host.Species	Host.Collection.Location	Strain.Combo	local or endemic Bd strain	Local Lineage	where local/endemic strain collected	non-local or non-endemic Bd strain	non-local Lineage	where non-local strain collected	outcome of local strain infection	outcome of non-local strain infection	mortality.local.or.endemic.Bd	n.local.or.endemic.Bd	mortality.nonlocal.or.pandemic.Bd	n.nonlocal.or.pandemic.Bd	Historical.coexistence	host.adult.ecology	reproductive.mode	life.stage.exp	exposure dose	comments	Control.mortality	Amount.mortality
AMB	Yes	N	Y		Ischnocnema parva.9	7	9	Ischnocnema parvaCLFT150-CLFT156	Greenspan et al. 2019 Scientific Reports	N	Ischnocnema parva	Brazilian Atlantic Forest	CLFT150-CLFT156	CLFT150	Bd-Brazil		CLFT156	Bd-GPL	Brazilian Atlantic Forest	less virulent - greater survival (60)	more virulent - no survival (0)	40	5	100	6	Yes	terrestrial	direct development	adult	1.8 _ 10^6 zoospores in 2.5 ml of distilled water for 45 minutes		No	0
MCB	No	Y	N	Y	Rana catesbeianus.			Rana catesbeianusJEL404-JEL423	Gahl et al. 2012 Conservation Biology	Y	Rana catesbeianus	"New Brunswick, Canada"	JEL404-JEL423	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	6	0	6	NA	semi-aquatic	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		NR	0
MCB	Yes	Y	N	Y	Rana clamitans.8	11	8	Rana clamitansJEL404-JEL423	Gahl et al. 2012 Conservation Biology	Y	Rana clamitans	"New Brunswick, Canada"	JEL404-JEL423	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	"increased mortality, 50 died"	no mortality	0	7	0	7	NA	semi-aquatic	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		No	0
MCB	Yes	Y	N	Y	Rana pipiens.8	11	8	Rana pipiensJEL404-JEL423	Gahl et al. 2012 Conservation Biology	Y	Rana pipiens	"New Brunswick, Canada"	JEL404-JEL423	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	no mortality	no mortality	10	10	10	10	NA	semi-aquatic	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		Yes	10
MCB	No	Y	N	N	Rana sylvatica.			Rana sylvaticaJEL 258-UM142	Becker et al 2017 FuncEco	N	Rana sylvatica	Maine	JEL 258-UM142	JEL 258	Bd-GPL	"Maine, USA"	UM142	Bd-Brazil	Brazil	"Yes, mortality"	"Yes, mortality"	77.2995781	40	52.3206751	40	NA	terrestrial	"aquatic,tadpole"	larvae	Bd inoculations were performed on day 0 and on day 17 using 106 zoospores per tank.	10 tadpoles each in 4 tanks	Yes	4.7
MCB	No	Y	N	N	Rana sylvatica.			Rana sylvaticaJEL 404-UM142	Becker et al 2017 FuncEco	N	Rana sylvatica	Maine	JEL 404-UM142	JEL 404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	UM142	Bd-Brazil	Brazil	"Yes, mortality"	"Yes, mortality"	67.1729958	40	52.3206751	40	NA	terrestrial	"aquatic,tadpole"	larvae	Bd inoculations were performed on day 0 and on day 17 using 106 zoospores per tank.	10 tadpoles each in 4 tanks	Yes	4.7
MCB	Yes	Y	N	Y	Rana sylvatica.1c	1d		Rana sylvaticaJEL 404 (multi)-JEL423 (multi)	Becker et al 2017 FuncEco	N	Rana sylvatica	Maine	JEL 404-JEL423	JEL 404/JEL 258	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	"Yes, mortality"	"Yes, mortality"	72.23628695	80	18.2278481	80	NA	terrestrial	"aquatic,tadpole"	larvae	Bd inoculations were performed on day 0 and on day 17 using 106 zoospores per tank.	10 tadpoles each in 4 tanks	Yes	4.7
MCB	Yes	N	Y		Rana sylvatica.1a	1a	1c	Rana sylvaticaUM142(multi)-JEL 404(multi)	Becker et al 2017 FuncEco	N	Rana sylvatica	Maine	UM142-JEL 404	UM142	Bd-Brazil	"Ypsilanti, MI, USA (market)"	JEL 404/JEL 258	Bd-GPL	US	"Yes, mortality"	"Yes, mortality"	52.3206751	80	72.23628695	80	No	terrestrial	"aquatic,tadpole"	"exposed as larvae, allowed to metamorphose"	Bd inoculations were performed on day 0 and on day 17 using 106 zoospores per tank.	10 tadpoles each in 4 tanks	Yes	4.7
MCB	Yes	Y	N	Y	Rana sylvatica.8	11	8	Rana sylvaticaJEL404-JEL423	Gahl et al. 2012 Conservation Biology	Y	Rana sylvatica	"New Brunswick, Canada"	JEL404-JEL423	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	increased mortality	"increased mortality,"	62.6794258	60	46.4114833	60	NA	terrestrial	"aquatic,tadpole"	larvae	"10^6-7 zoospores, 10^5-6 spoorangia"		Yes	15.52
AMB	Yes	N	Y		Litoria caerulea.7	6	7	Litoria caeruleaBd-Asia1-Abercrombie R-L. booroolongensis	Fu and Waldman 2019 Molecular Ecology	N	Litoria caerulea	New Guinea	Bd-Asia1-Abercrombie R-L. booroolongensis	Bd-Asia1	Bd-Asia1	South Korea	Abercrombie R-L. booroolongensis	Bd-GPL	"New South Wales, Australia"	"high virulence/susceptibility - higher than GPL!! 100 mortality by ~80 DPI, loads at high level and increased toward end of experiment to 10^5"	high virulence/susceptibility - mortality throughout with only ~10-20 surviving at 100 DPI; loads stayed moderately high around 10^2-10^4 throughout the experiment	100	15	86.66666667	15	No	arboreal	"aquatic, tadpole"	adult	5 x 10^5 zoospores + 50 ml UV filtered water		Yes	16.7
MCB	No	Y	N	Y	Pseudacris crucifer.			Pseudacris cruciferJEL404-JEL423	Gahl et al. 2012 Conservation Biology	Y	Pseudacris crucifer	"New Brunswick, Canada"	JEL404-JEL423	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	7	0	7	NA	arboreal	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		NR	0
AMB	Yes	Y	N	Y	Pseudacris regilla.3a	12a	3a	Pseudacris regillaJEL630-JEL423	Dang et al. 2017 DAO	Y	Pseudacris regilla	United States (Cascades Range of Oregon)	JEL630-JEL423	JEL630	Bd-GPL	OR	JEL425	Presumed Bd-GPL	"El Copé, Panama"	"No effect on survival, no difference in pathogen load among strains"	"No effect on survival, no difference in pathogen load among strains"	0	16	14.0248963	15	NA	terrestrial	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		No	0
AMB	Yes	Y	N	Y	Pseudacris regilla.3b	12b	3b	Pseudacris regillaJEL630-JEL646	Dang et al. 2017 DAO	Y	Pseudacris regilla	United States (Cascades Range of Oregon)	JEL630-JEL646	JEL630	Bd-GPL	OR	JEL646	Bd-GPL	"Sierra Nevada, CA"	"No effect on survival, no difference in pathogen load among strains"		0	16	7.717842	14	NA	terrestrial	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		No	0
AMB	Yes	Y	N	Y	Rana cascadae.3a	12a	3a	Rana cascadaeJEL630-JEL425	Dang et al. 2017 DAO	Y	Rana cascadae	United States (Cascades Range of Oregon)	JEL630-JEL425	JEL630	Bd-GPL	OR	JEL425	Presumed Bd-GPL	"El Copé, Panama"	"No effect on survival, no difference in pathogen load among strains"	"No effect on survival, no difference in pathogen load among strains"	20.6425703	24	8.7550201	24	NA	semi-aquatic	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		Yes	6.5060241
AMB	Yes	Y	N	Y	Rana cascadae.3b	12b	3b	Rana cascadaeJEL630-JEL646	Dang et al. 2017 DAO	Y	Rana cascadae	United States (Cascades Range of Oregon)	JEL630-JEL646	JEL630	Bd-GPL	OR	JEL646	Bd-GPL	"Sierra Nevada, CA"	"No effect on survival, no difference in pathogen load among strains"		20.6425703	24	3.614458	23	NA	semi-aquatic	"aquatic, tadpole"	larvae	10^5 zoospores (sporangia not filtered out)		Yes	6.5060241
AMB	Yes	Y	N	Y	Rana onca.13a	13a	13a	Rana oncaLocal Bd-GPL from P. regilla (SMR)-LC63	Waddle et al. 2019 EcoHealth		Rana onca	Nevada	Local Bd-GPL from P. regilla (SMR)-LC63	Local Bd-GPL from P. regilla (SMR)	Bd-GPL	NV	LC63	Presumed Bd-GPL	Australia? or captive breeding facility	"moderate mortality for P. regilla isolate, functionally zero mortality for R. onca isolate"	moderate mortality	42	12	58	12	NA	semi-aquatic	"aquatic, tadpole"	larvae	3x10^6 over 3 days	"comparison of local vs. non local GPL; inoculated twice a week apart, and then a third time at metamorphosis"	No	0
AMB	Yes	Y	N	Y	Rana onca.13b	13b	13b	Rana oncaLocal Bd-GPL from R. onca (LBP)-LC63	Waddle et al. 2019 EcoHealth		Rana onca	Nevada	Local Bd-GPL from R. onca (LBP)-LC63	Local Bd-GPL from R. onca (LBP)	Bd-GPL	NV	LC63	Presumed Bd-GPL	Australia? or captive breeding facility	"moderate mortality for P. regilla isolate, functionally zero mortality for R. onca isolate"	moderate mortality	25	12	58	12	NA	semi-aquatic	"aquatic, tadpole"	larvae	3x10^6 over 3 days	"comparison of local vs. non local GPL; inoculated twice a week apart, and then a third time at metamorphosis"	Yes	7.9
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
